filename	mark	label	off0	off1	span	code	semantic_rel
es-S1139-76322014000100010-1	T1	ENFERMEDAD	2008	2047	apéndice cecal con signos inflamatorios	74400008	EXACT
es-S1139-76322014000100010-1	T2	ENFERMEDAD	1259	1277	cuadro obstructivo	81060008	EXACT
es-S1139-76322014000100010-1	T3	ENFERMEDAD	574	587	abdomen agudo	9209005	EXACT
es-S1139-76322014000100010-1	T4	ENFERMEDAD	753	770	apendicitis aguda	85189001	EXACT
es-S1130-05582017000200099-1	T1	ENFERMEDAD	50	58	fumadora	77176002	EXACT
es-S1130-05582017000200099-1	T2	ENFERMEDAD	113	136	alergias medicamentosas	416098002	EXACT
es-S1130-05582017000200099-1	T3	ENFERMEDAD	1314	1330	fascitis nodular	400138001	EXACT
es-S1130-05582017000200099-1	T4	ENFERMEDAD	659	665	lesión	417163006	EXACT
es-S1130-05582017000200099-1	T5	ENFERMEDAD	730	736	lesión	417163006	EXACT
es-S1137-66272006000500012-1	T1	ENFERMEDAD	2041	2047	dengue	38362002	EXACT
es-S1137-66272006000500012-1	T2	ENFERMEDAD	33	51	fumadora ocasional	77176002	EXACT
es-S1137-66272006000500012-1	T3	ENFERMEDAD	2083	2129	dengue hemorrágico grado 1 inducido por el AAS	409676000	NARROW
es-S1137-66272006000500012-1	T4	ENFERMEDAD	685	757	exantema hemorrágico, simétrico, máculo-papular en tronco y extremidades	271807003+128121009+128605003	COMPOSITE
es-S1137-66272006000500012-1	T5	ENFERMEDAD	316	338	picaduras de mosquitos	283344005	EXACT
es-S1137-66272006000500012-1	T6	ENFERMEDAD	941	1001	adenopatías latero y retrocervicales así como preauriculares	127086001+127078001	COMPOSITE
es-S1137-66272006000500012-1	T7	ENFERMEDAD	1052	1072	hepatoesplenomegalia	36760000	EXACT
es-S1137-66272006000500012-1	T8	ENFERMEDAD	1143	1183	petequias en la fosa antecubital derecha	423716004	NARROW
es-S1130-63432016000100009-1	T1	ENFERMEDAD	98	113	ictus isquémico	422504002	EXACT
es-S1130-63432016000100009-1	T2	ENFERMEDAD	194	225	tromboembolismo venoso profundo	128053003	EXACT
es-S1130-63432016000100009-1	T3	ENFERMEDAD	1029	1045	obesidad extrema	238136002	EXACT
es-S1135-76062016000100006-1	T1	ENFERMEDAD	4023	4046	distorsiones cognitivas	443265004	EXACT
es-S1135-76062016000100006-1	T2	ENFERMEDAD	3080	3112	trastorno límite de personalidad	20010003	EXACT
es-S1135-76062016000100006-1	T3	ENFERMEDAD	2402	2416	retraso mental	110359009	EXACT
es-S1135-76062016000100006-1	T4	ENFERMEDAD	1763	1791	conductas sexuales desviadas	50299009	EXACT
es-S1135-76062016000100006-1	T5	ENFERMEDAD	4352	4375	distorsiones cognitivas	443265004	EXACT
es-S1135-76062016000100006-1	T6	ENFERMEDAD	2746	2771	conductas metasimulativas	430909002	NARROW
es-S1135-76062016000100006-1	T7	ENFERMEDAD	526	544	luxación de hombro	417076003	EXACT
es-S1135-76062016000100006-1	T8	ENFERMEDAD	470	478	lesiones	157670007	EXACT
es-S1135-76062016000100006-1	T9	ENFERMEDAD	1084	1092	lesiones	157670007	EXACT
es-S1135-76062016000100006-1	T10	ENFERMEDAD	4266	4274	lesiones	157670007	EXACT
es-S0210-48062005000300016-2	T1	ENFERMEDAD	1321	1351	dilatación del tracto urinario	128606002	NARROW
es-S0210-48062005000300016-2	T2	ENFERMEDAD	2481	2520	patología del aparato valvular cardiaco	368009	EXACT
es-S0210-48062005000300016-2	T3	ENFERMEDAD	245	267	hematuria macroscópica	197941005	EXACT
es-S0210-48062005000300016-2	T4	ENFERMEDAD	1594	1619	isquemia miocárdica aguda	413444003	EXACT
es-S0210-48062005000300016-2	T5	ENFERMEDAD	421	452	accidente isquémico transitorio	266257000	EXACT
es-S0210-48062005000300016-2	T6	ENFERMEDAD	526	543	arritmia cardíaca	698247007	EXACT
es-S0210-48062005000300016-2	T7	ENFERMEDAD	546	558	valvulopatía	368009	EXACT
es-S0210-48062005000300016-2	T8	ENFERMEDAD	570	595	episodios tromboembólicos	371039008	EXACT
es-S0210-48062005000300016-2	T9	ENFERMEDAD	638	655	litiasis urinaria	95566004	EXACT
es-S0210-48062005000300016-2	T10	ENFERMEDAD	1923	1941	dilatación aórtica	26660001	EXACT
es-S0210-48062005000300016-2	T11	ENFERMEDAD	1944	1970	aneurisma de arteria renal	36184004	EXACT
es-S0210-48062005000300016-2	T12	ENFERMEDAD	711	727	abuso de cocaína	78267003	EXACT
es-S0210-48062005000300016-2	T13	ENFERMEDAD	751	766	hepatitis B o C	442374005	EXACT
es-S0210-48062005000300016-2	T14	ENFERMEDAD	2272	2291	episodios embólicos	414086009	EXACT
es-S0210-48062005000300016-2	T15	ENFERMEDAD	342	354	Hipertensión	38341003	EXACT
es-S0210-48062005000300016-2	T16	ENFERMEDAD	3300	3309	embolismo	414086009	EXACT
es-S0210-48062005000300016-2	T17	ENFERMEDAD	3331	3351	enfermedad sistémica	56019007	EXACT
es-S0210-48062005000300016-2	T18	ENFERMEDAD	3404	3416	hipertensión	38341003	EXACT
es-S0210-48062005000300016-2	T19	ENFERMEDAD	2540	2563	vegetaciones valvulares	459055004	NARROW
es-S0210-48062005000300016-2	T20	ENFERMEDAD	1840	1848	isquemia	52674009	EXACT
es-S0210-48062005000300016-2	T21	ENFERMEDAD	2586	2607	discinesia miocárdica	25437005	EXACT
es-S0210-48062005000300016-2	T22	ENFERMEDAD	2843	2918	macro/ microaneurismas o alteraciones de la arteria renal principal o aorta	67362008+36184004	COMPOSITE
es-S0210-48062005000300016-2	T23	ENFERMEDAD	2950	2985	enfermedad protrombótica y vascular	76612001	NARROW
es-S1130-63432013000300012-1	T1	ENFERMEDAD	97	117	hemorragia digestiva	74474003	EXACT
es-S1130-63432013000300012-1	T2	ENFERMEDAD	139	158	valvulopatía mitral	11851006	EXACT
es-S1130-63432013000300012-1	T3	ENFERMEDAD	1905	1933	hipertensión pulmonar severa	70995007	NARROW
es-S1130-63432013000300012-1	T4	ENFERMEDAD	260	279	sangrado intestinal	712510007	EXACT
es-S1130-63432013000300012-1	T5	ENFERMEDAD	303	328	anemia ferropénica severa	87522002	NARROW
es-S1130-63432013000300012-1	T6	ENFERMEDAD	2169	2193	tromboembolismo pulmonar	59282003	EXACT
es-S1130-63432013000300012-1	T7	ENFERMEDAD	514	533	sangrado intestinal	712510007	EXACT
es-S1130-63432013000300012-1	T8	ENFERMEDAD	633	713	angiodisplasias intestinales en antro duodenal, yeyuno proximal e íleon terminal	721662002	NARROW
es-S1130-63432013000300012-1	T9	ENFERMEDAD	988	1003	angiodisplasias	71072006	EXACT
es-S1130-63432013000300012-1	T10	ENFERMEDAD	1047	1070	angiodisplasias ileales	721662002	NARROW
es-S1130-63432013000300012-1	T11	ENFERMEDAD	1290	1298	lesiones	157670007	EXACT
es-S1139-76322015000300015-1	T1	ENFERMEDAD	64	77	criptorquidia	204878001	EXACT
es-S1139-76322015000300015-1	T2	ENFERMEDAD	171	202	inflamación parotídea bilateral	274106005	NARROW
es-S1139-76322015000300015-1	T3	ENFERMEDAD	641	676	tumoración laterocervical bilateral	126635000	NARROW
es-S1130-01082008000800010-1	T1	ENFERMEDAD	44	59	diarrea crónica	236071009	EXACT
es-S1130-01082008000800010-1	T2	ENFERMEDAD	1294	1330	carcinoma de células renales papilar	733608000	EXACT
es-S1130-01082008000800010-1	T3	ENFERMEDAD	680	686	lesión	417163006	EXACT
es-S1130-01082008000800010-1	T4	ENFERMEDAD	1090	1096	lesión	417163006	EXACT
es-S1139-76322017000200007-1	T1	ENFERMEDAD	551	602	conglomerado submandibular izquierdo de adenopatías	127084003	NARROW
es-S1139-76322017000200007-1	T2	ENFERMEDAD	1674	1694	adenitis tuberculosa	10893003	EXACT
es-S1139-76322017000200007-1	T3	ENFERMEDAD	118	155	adenopatías dolorosas submandibulares	127084003	NARROW
es-S1139-76322017000200007-1	T4	ENFERMEDAD	676	687	adenopatías	30746006	EXACT
es-S1139-76322017000200007-1	T5	ENFERMEDAD	1575	1614	linfadenitis granulomatosa necrotizante	426121003	NARROW
es-S1139-76322017000200007-1	T6	ENFERMEDAD	1850	1884	cultivo fue positivo para M. bovis	373437006	EXACT
es-S1139-76322017000200007-1	T7	ENFERMEDAD	2429	2447	proceso infeccioso	40733004	EXACT
es-S1139-76322017000200007-1	T8	ENFERMEDAD	1446	1456	adenopatía	30746006	EXACT
es-S1130-05582015000300004-1	T1	ENFERMEDAD	979	994	lesión quística	441457006	EXACT
es-S1130-05582015000300004-1	T2	ENFERMEDAD	2148	2163	lesión quística	441457006	EXACT
es-S1130-05582015000300004-1	T3	ENFERMEDAD	1406	1421	lesión quística	441457006	EXACT
es-S1130-05582015000300004-1	T4	ENFERMEDAD	2259	2265	quiste	441457006	EXACT
es-S1130-05582015000300004-1	T5	ENFERMEDAD	1765	1828	quiste sinovial por encima de la rama frontal del nervio facial	240205003	NARROW
es-S1130-05582015000300004-1	T6	ENFERMEDAD	345	375	hipertensión arterial esencial	59621000	EXACT
es-S1130-05582015000300004-1	T7	ENFERMEDAD	1861	1930	pedículo que comunica el quiste con la articulación temporomandibular	41888000	NARROW
es-S1130-05582015000300004-1	T8	ENFERMEDAD	1984	1990	herida	416462003	EXACT
es-S0365-66912006000400010-1	T1	ENFERMEDAD	219	229	anhidrosis	39659002	EXACT
es-S0365-66912006000400010-1	T2	ENFERMEDAD	312	329	ausencia de cejas	422441003	EXACT
es-S0365-66912006000400010-1	T3	ENFERMEDAD	332	341	madarosis	34887006	EXACT
es-S0365-66912006000400010-1	T4	ENFERMEDAD	525	561	neovascularización corneal bilateral	346481000119100	EXACT
es-S0365-66912006000400010-1	T5	ENFERMEDAD	649	689	queratopatía punteada superficial difusa	42513006	EXACT
es-S0365-66912006000400010-1	T6	ENFERMEDAD	1182	1196	queratoeritema	26996000	NARROW
es-S0365-66912006000400010-1	T7	ENFERMEDAD	1199	1221	sordera neurosensorial	60700002	EXACT
es-S0365-66912006000400010-1	T8	ENFERMEDAD	1259	1271	síndrome KID	239059004	EXACT
es-S0365-66912006000400010-1	T9	ENFERMEDAD	1446	1458	síndrome KID	239059004	EXACT
es-S0365-66912006000400010-1	T10	ENFERMEDAD	247	282	lesiones cutáneas hiperqueratósicas	707209001	EXACT
es-S0365-66912006000400010-1	T11	ENFERMEDAD	134	149	sequedad ocular	162290004	EXACT
es-S0365-66912006000400010-1	T12	ENFERMEDAD	231	245	piosis cutánea	106076001	NARROW
es-S0365-66912006000400010-1	T13	ENFERMEDAD	284	310	pérdida de cuero cabelludo	238922006	NARROW
es-S0365-66912006000400010-1	T14	ENFERMEDAD	188	217	sequedad cutánea generalizada	16386004	EXACT
es-S0004-06142007000900013-1	T1	ENFERMEDAD	923	941	torsión testicular	81996005	EXACT
es-S1887-85712015000200005-1	T1	ENFERMEDAD	1164	1212	fractura de diáfisis femoral de trazo transverso	54441004	EXACT
es-S1887-85712015000200005-1	T2	ENFERMEDAD	236	264	fractura diafisaria de fémur	54441004	EXACT
es-S1887-85712015000200005-1	T3	ENFERMEDAD	279	287	fractura	72704001	EXACT
es-S0210-48062005000800014-1	T1	ENFERMEDAD	44	59	enolismo severo	713862009	EXACT
es-S0210-48062005000800014-1	T2	ENFERMEDAD	104	125	hipertensión arterial	38341003	EXACT
es-S0210-48062005000800014-1	T3	ENFERMEDAD	140	166	pancreatitis aguda enólica	235942001	EXACT
es-S0210-48062005000800014-1	T4	ENFERMEDAD	1105	1147	necrosis grasas secundarias a pancreatitis	46626002	EXACT
es-S0210-48062005000800014-1	T5	ENFERMEDAD	1135	1147	pancreatitis	75694006	EXACT
es-S0210-48062005000800014-1	T6	ENFERMEDAD	768	784	lesiones renales	90708001	EXACT
es-S0210-48062005000800014-1	T7	ENFERMEDAD	243	273	inflamación pancreática difusa	75694006	EXACT
es-S0210-48062005000800014-1	T8	ENFERMEDAD	554	579	cuadro inflamatorio agudo	4532008	EXACT
es-S0210-48062005000800014-1	T9	ENFERMEDAD	436	454	quiste hemorrágico	52321009	EXACT
es-S0210-48062005000800014-1	T10	ENFERMEDAD	35	42	fumador	77176002	EXACT
es-S0210-48062005000800014-1	T11	ENFERMEDAD	1024	1050	granuloma esteatonecrótico	27058005	NARROW
es-S1139-76322015000500009-1	T1	ENFERMEDAD	1238	1272	parálisis hiperpotasémica familiar	304737009	EXACT
es-S1139-76322015000500009-1	T2	ENFERMEDAD	456	490	parálisis hiperpotasémica familiar	304737009	EXACT
es-S0212-71992007001000008-1	T1	ENFERMEDAD	1138	1141	HCL	65399007	EXACT
es-S0212-71992007001000008-1	T2	ENFERMEDAD	1325	1367	adenopatía en localización supraclavicular	127088000	EXACT
es-S0212-71992007001000008-1	T3	ENFERMEDAD	1405	1465	enfermedad de Hodgkin tipo esclerosis nodular asociada a HCL	118608000	EXACT
es-S0212-71992007001000008-1	T4	ENFERMEDAD	1462	1465	HCL	65399007	EXACT
es-S0212-71992007001000008-1	T5	ENFERMEDAD	128	137	hemotórax	31892009	EXACT
es-S1130-05582010000200005-1	T1	ENFERMEDAD	744	769	lesión tumoral mandibular	126551000	EXACT
es-S1130-05582010000200005-1	T2	ENFERMEDAD	1058	1072	lesión mixoide	92069005	NARROW
es-S1130-05582010000200005-1	T3	ENFERMEDAD	1310	1340	mixoma odontogénico mandibular	92208007	NARROW
es-S1130-05582010000200005-1	T4	ENFERMEDAD	2320	2350	mixoma odontogénico mandibular	92208007	NARROW
es-S1130-05582010000200005-1	T5	ENFERMEDAD	1433	1439	lesión	417163006	EXACT
es-S1139-76322016000300007-1	T1	ENFERMEDAD	1343	1359	síndrome de Frey	45294007	EXACT
es-S0376-78922011000200004-1	T1	ENFERMEDAD	591	610	fascitis necrosante	52486002	EXACT
es-S0376-78922011000200004-1	T2	ENFERMEDAD	1417	1426	infección	40733004	EXACT
es-S0376-78922011000200004-1	T3	ENFERMEDAD	53	80	insuficiencia renal crónica	90688005	EXACT
es-S0376-78922011000200004-1	T4	ENFERMEDAD	421	430	flictenas	247464001	EXACT
es-S0376-78922011000200004-1	T5	ENFERMEDAD	1838	1846	hematoma	385494008	EXACT
es-S0376-78922011000200004-1	T6	ENFERMEDAD	1849	1858	infección	40733004	EXACT
es-S0376-78922011000200004-1	T7	ENFERMEDAD	433	449	necrosis cutánea	95347000	EXACT
es-S0376-78922011000200004-1	T8	ENFERMEDAD	2712	2718	herida	416462003	EXACT
es-S0376-78922011000200004-1	T9	ENFERMEDAD	335	366	lesiones eritematosas en flanco	70819003	NARROW
es-S0376-78922011000200004-1	T10	ENFERMEDAD	508	516	lesiones	157670007	EXACT
es-S1888-75462017000100042-1	T1	ENFERMEDAD	795	847	pseudoartrosis de la apófisis unciforme del ganchoso	208369005	NARROW
es-S1888-75462017000100042-1	T2	ENFERMEDAD	491	552	neuropatía compresiva del nervio cubital en el canal de Guyon	193134004	EXACT
es-S1888-75462017000100042-1	T3	ENFERMEDAD	988	1002	pseudoartrosis	410818009	EXACT
es-S1139-76322009000700014-1	T1	ENFERMEDAD	2462	2486	mononucleosis infecciosa	271558008	EXACT
es-S1139-76322009000700014-1	T2	ENFERMEDAD	2491	2499	neumonia	233604007	EXACT
es-S1139-76322009000700014-1	T3	ENFERMEDAD	1667	1691	mononucleosis infecciosa	271558008	EXACT
es-S1139-76322009000700014-1	T4	ENFERMEDAD	113	162	exantema urticariforme en extremidades inferiores	64305001	NARROW
es-S1139-76322009000700014-1	T5	ENFERMEDAD	1534	1542	neumonía	233604007	EXACT
es-S1139-76322009000700014-1	T6	ENFERMEDAD	639	683	adenopatías sub-maxilares y laterocervicales	127085002+127087005	COMPOSITE
es-S1139-76322009000700014-1	T7	ENFERMEDAD	1553	1573	adenopatías hiliares	87500009	EXACT
es-S1139-76322009000700014-1	T8	ENFERMEDAD	2379	2402	atelectasia segmentaria	61448007	EXACT
es-S1139-76322009000700014-1	T9	ENFERMEDAD	696	717	amígdalas congestivas	281795003	EXACT
es-S1139-76322009000700014-1	T10	ENFERMEDAD	785	807	Adenopatías inguinales	127199000	EXACT
es-S1139-76322009000700014-1	T11	ENFERMEDAD	1009	1035	insuficiencia respiratoria	409623005	EXACT
es-S1139-76322009000700014-1	T12	ENFERMEDAD	2429	2447	proceso infeccioso	40733004	EXACT
es-S1139-76322009000700014-1	T13	ENFERMEDAD	745	759	esplenomegalia	16294009	EXACT
es-S1139-76322009000700014-1	T14	ENFERMEDAD	1596	1610	esplenomegalia	16294009	EXACT
es-S1139-76322009000700014-1	T15	ENFERMEDAD	762	775	hepatomegalia	80515008	EXACT
es-S1139-76322009000700014-1	T16	ENFERMEDAD	343	426	erupción maculosa que afecta ahora ya, a extremidades inferiores, superiores y cara	725119006	NARROW
es-S1139-76322009000700014-1	T17	ENFERMEDAD	517	546	edema periorbital y palpebral	49563000+193967004	COMPOSITE
es-S1139-76322009000700014-1	T18	ENFERMEDAD	620	637	obstrucción nasal	232209000	EXACT
es-S1139-76322009000700014-1	T19	ENFERMEDAD	866	874	exantema	271807003	EXACT
es-S0004-06142009000200013-1	T1	ENFERMEDAD	80	86	aborto	17369002	EXACT
es-S0004-06142009000200013-1	T2	ENFERMEDAD	533	555	hematuria macroscópica	197941005	EXACT
es-S0004-06142009000200013-1	T3	ENFERMEDAD	1511	1532	mullerianosis vesical	65099004	NARROW
es-S0004-06142009000200013-1	T4	ENFERMEDAD	906	912	lesión	417163006	EXACT
es-S0004-06142009000200013-1	T5	ENFERMEDAD	161	173	infertilidad	8619003	EXACT
es-S0004-06142009000200013-1	T6	ENFERMEDAD	18	26	fumadora	77176002	EXACT
es-S0004-06142009000200013-1	T7	ENFERMEDAD	264	293	lesión exofítica intravesical	126885006	NARROW
es-S0376-78922015000200010-1	T1	ENFERMEDAD	1234	1246	pólipo nasal	736500007	EXACT
es-S0376-78922015000200010-1	T2	ENFERMEDAD	732	758	agenesia de cuerpo calloso	5102002	EXACT
es-S0376-78922015000200010-1	T3	ENFERMEDAD	444	469	narina derecha por pólipo	736636000	EXACT
es-S0376-78922015000200010-1	T4	ENFERMEDAD	1321	1337	pólipo intraoral	196579001	EXACT
es-S0376-78922015000200010-1	T5	ENFERMEDAD	139	148	epilepsia	84757009	EXACT
es-S0376-78922015000200010-1	T6	ENFERMEDAD	182	189	autismo	408856003	EXACT
es-S0376-78922015000200010-1	T7	ENFERMEDAD	1776	1803	agenesia del cuerpo calloso	5102002	EXACT
es-S0376-78922015000200010-1	T8	ENFERMEDAD	871	877	lipoma	93163002	EXACT
es-S0376-78922015000200010-1	T9	ENFERMEDAD	1399	1431	pólipos escamosos queratinizados	441456002	NARROW
es-S0376-78922015000200010-1	T10	ENFERMEDAD	572	586	hipertelorismo	22006008	EXACT
es-S0376-78922015000200010-1	T11	ENFERMEDAD	924	972	espina bífida oculta a nivel de columna cervical	76916001	NARROW
es-S0376-78922015000200010-1	T12	ENFERMEDAD	588	595	epifora	49393005	EXACT
es-S0376-78922015000200010-1	T13	ENFERMEDAD	1875	1893	crisis convulsivas	128613002	EXACT
es-S0376-78922015000200010-1	T14	ENFERMEDAD	975	1031	fisura central a nivel de la arcada del maxilar superior	253993003	EXACT
es-S0376-78922015000200010-1	T15	ENFERMEDAD	1175	1181	lesión	417163006	EXACT
es-S0376-78922015000200010-1	T16	ENFERMEDAD	426	469	obstrucción de la narina derecha por pólipo	232209000	NARROW
es-S0365-66912006000800010-1	T1	ENFERMEDAD	583	596	pilomatricoma	274901004	EXACT
es-S0365-66912006000800010-1	T2	ENFERMEDAD	114	131	granuloma piógeno	200722003	EXACT
es-S0365-66912006000800010-1	T3	ENFERMEDAD	71	77	lesión	417163006	EXACT
