"Step","CrossEntropyLoss, opt=Adagrad, lr=0.1 - train/accuracy","CrossEntropyLoss, opt=Adagrad, lr=0.1 - train/accuracy__MIN","CrossEntropyLoss, opt=Adagrad, lr=0.1 - train/accuracy__MAX","CrossEntropyLoss, opt=RMSprop, lr=0.1 - train/accuracy","CrossEntropyLoss, opt=RMSprop, lr=0.1 - train/accuracy__MIN","CrossEntropyLoss, opt=RMSprop, lr=0.1 - train/accuracy__MAX","CrossEntropyLoss, opt=Adam, lr=0.1 - train/accuracy","CrossEntropyLoss, opt=Adam, lr=0.1 - train/accuracy__MIN","CrossEntropyLoss, opt=Adam, lr=0.1 - train/accuracy__MAX","CrossEntropyLoss, opt=SGD, lr=0.1 - train/accuracy","CrossEntropyLoss, opt=SGD, lr=0.1 - train/accuracy__MIN","CrossEntropyLoss, opt=SGD, lr=0.1 - train/accuracy__MAX","NLLLoss, opt=Adagrad, lr=0.01 - train/accuracy","NLLLoss, opt=Adagrad, lr=0.01 - train/accuracy__MIN","NLLLoss, opt=Adagrad, lr=0.01 - train/accuracy__MAX","NLLLoss, opt=RMSprop, lr=0.01 - train/accuracy","NLLLoss, opt=RMSprop, lr=0.01 - train/accuracy__MIN","NLLLoss, opt=RMSprop, lr=0.01 - train/accuracy__MAX","NLLLoss, opt=Adam, lr=0.01 - train/accuracy","NLLLoss, opt=Adam, lr=0.01 - train/accuracy__MIN","NLLLoss, opt=Adam, lr=0.01 - train/accuracy__MAX","NLLLoss, opt=SGD, lr=0.01 - train/accuracy","NLLLoss, opt=SGD, lr=0.01 - train/accuracy__MIN","NLLLoss, opt=SGD, lr=0.01 - train/accuracy__MAX","NLLLoss, opt=Adagrad, lr=0.1 - train/accuracy","NLLLoss, opt=Adagrad, lr=0.1 - train/accuracy__MIN","NLLLoss, opt=Adagrad, lr=0.1 - train/accuracy__MAX","NLLLoss, opt=RMSprop, lr=0.1 - train/accuracy","NLLLoss, opt=RMSprop, lr=0.1 - train/accuracy__MIN","NLLLoss, opt=RMSprop, lr=0.1 - train/accuracy__MAX"
"0","0.7256361168376574","0.7256361168376574","0.7256361168376574","0.4452513471964424","0.4452513471964424","0.4452513471964424","0.6066778774893894","0.6066778774893894","0.6066778774893894","0","0","0","0.5976674924861258","0.5976674924861258","0.5976674924861258","0.7378810892306914","0.7378810892306914","0.7378810892306914","0.6736384115115864","0.6736384115115864","0.6736384115115864","0.0019278333588378636","0.0019278333588378636","0.0019278333588378636","0.7365674302568586","0.7365674302568586","0.7365674302568586","0.4504582201622016","0.4504582201622016","0.4504582201622016"
"1","0.8608942373296408","0.8608942373296408","0.8608942373296408","0.5509699373322678","0.5509699373322678","0.5509699373322678","0.6780416666874736","0.6780416666874736","0.6780416666874736","0","0","0","0.777495477377899","0.777495477377899","0.777495477377899","0.8631161808028934","0.8631161808028934","0.8631161808028934","0.8501673108480108","0.8501673108480108","0.8501673108480108","0","0","0","0.8693040284350162","0.8693040284350162","0.8693040284350162","0.5772129851650065","0.5772129851650065","0.5772129851650065"
"2","0.9005394194304474","0.9005394194304474","0.9005394194304474","0.608019232280611","0.608019232280611","0.608019232280611","0.6900323404101875","0.6900323404101875","0.6900323404101875","0.0019437935932972066","0.0019437935932972066","0.0019437935932972066","0.837075163060286","0.837075163060286","0.837075163060286","0.8961647697321073","0.8961647697321073","0.8961647697321073","0.8949159641904155","0.8949159641904155","0.8949159641904155","0","0","0","0.9043561667203903","0.9043561667203903","0.9043561667203903","0.6075205131778567","0.6075205131778567","0.6075205131778567"
"3","0.9243160067346152","0.9243160067346152","0.9243160067346152","0.6445422881231533","0.6445422881231533","0.6445422881231533","0.6859614502374581","0.6859614502374581","0.6859614502374581","0.13558685117379182","0.13558685117379182","0.13558685117379182","0.868247262018872","0.868247262018872","0.868247262018872","0.9172316596029312","0.9172316596029312","0.9172316596029312","0.9149588936661172","0.9149588936661172","0.9149588936661172","0","0","0","0.9280006087671114","0.9280006087671114","0.9280006087671114","0.6536689232888184","0.6536689232888184","0.6536689232888184"
"4","0.9388760544183686","0.9388760544183686","0.9388760544183686","0.6551736891269684","0.6551736891269684","0.6551736891269684","0.674843282094152","0.674843282094152","0.674843282094152","0.37652899992219574","0.37652899992219574","0.37652899992219574","0.8909921391507772","0.8909921391507772","0.8909921391507772","0.9322168688605151","0.9322168688605151","0.9322168688605151","0.927925631403923","0.927925631403923","0.927925631403923","0","0","0","0.939736635783526","0.939736635783526","0.939736635783526","0.6669283918743059","0.6669283918743059","0.6669283918743059"
"5","0.9522474079620181","0.9522474079620181","0.9522474079620181","0.6589725255731522","0.6589725255731522","0.6589725255731522","0.6931719972392706","0.6931719972392706","0.6931719972392706","0.5420138620896133","0.5420138620896133","0.5420138620896133","0.9090962344267237","0.9090962344267237","0.9090962344267237","0.9413021413360055","0.9413021413360055","0.9413021413360055","0.9420966886159942","0.9420966886159942","0.9420966886159942","0","0","0","0.9485031475467006","0.9485031475467006","0.9485031475467006","0.6796857363830401","0.6796857363830401","0.6796857363830401"
"6","0.961449363569575","0.961449363569575","0.961449363569575","0.6766590336411018","0.6766590336411018","0.6766590336411018","0.7063403364241593","0.7063403364241593","0.7063403364241593","0.5859177285644013","0.5859177285644013","0.5859177285644013","0.9246436920691663","0.9246436920691663","0.9246436920691663","0.9432549511823128","0.9432549511823128","0.9432549511823128","0.9336136398822303","0.9336136398822303","0.9336136398822303","0","0","0","0.9602776714197294","0.9602776714197294","0.9602776714197294","0.6923120623733116","0.6923120623733116","0.6923120623733116"
"7","0.969804377771738","0.969804377771738","0.969804377771738","0.6898766500274027","0.6898766500274027","0.6898766500274027","0.7228040733909983","0.7228040733909983","0.7228040733909983","0.6022497149785673","0.6022497149785673","0.6022497149785673","0.9347684575816778","0.9347684575816778","0.9347684575816778","0.9534896384543321","0.9534896384543321","0.9534896384543321","0.934293253684607","0.934293253684607","0.934293253684607","0","0","0","0.9710953575888956","0.9710953575888956","0.9710953575888956","0.6993745431655974","0.6993745431655974","0.6993745431655974"
"8","0.9780515127294646","0.9780515127294646","0.9780515127294646","0.6947205036174594","0.6947205036174594","0.6947205036174594","0.7259654111749544","0.7259654111749544","0.7259654111749544","0.622685485526802","0.622685485526802","0.622685485526802","0.9408418672291312","0.9408418672291312","0.9408418672291312","0.9584562977937263","0.9584562977937263","0.9584562977937263","0.9447411331604785","0.9447411331604785","0.9447411331604785","0","0","0","0.9761391387680384","0.9761391387680384","0.9761391387680384","0.7179031789772153","0.7179031789772153","0.7179031789772153"
"9","0.9824380635276554","0.9824380635276554","0.9824380635276554","0.707621008979054","0.707621008979054","0.707621008979054","0.7264741462046705","0.7264741462046705","0.7264741462046705","0.6374463549866451","0.6374463549866451","0.6374463549866451","0.9485006874471199","0.9485006874471199","0.9485006874471199","0.9598071589244632","0.9598071589244632","0.9598071589244632","0.9522209686087811","0.9522209686087811","0.9522209686087811","0","0","0","0.980188473472445","0.980188473472445","0.980188473472445","0.7125804554524384","0.7125804554524384","0.7125804554524384"
