filename	mark	label	offset1	offset2	span	code
es-S0212-71992007000100007-1	T1	ENFERMEDAD	38	58	hipertensió arterial	38341003
es-S0212-71992007000100007-1	T2	ENFERMEDAD	61	73	poliartrosis	36186002
es-S0212-71992007000100007-1	T3	ENFERMEDAD	1707	1724	vessament pleural	60046008
es-S0212-71992007000100007-1	T4	ENFERMEDAD	1885	1902	vessament pleural	60046008
es-S0212-71992007000100007-1	T5	ENFERMEDAD	1770	1781	adenopaties	30746006
es-S0212-71992007000100007-1	T6	ENFERMEDAD	1652	1682	atelectasia del lòbul inferior	46621007
es-S0212-71992007000100007-1	T7	ENFERMEDAD	1936	1987	canvis degeneratius al llarg del raquis dorsolumbar	321341000119107
es-S0212-71992007000100007-1	T8	ENFERMEDAD	2004	2075	erosions en els platerets vertebrals adjacents a l'espai discal D10-D11	91240008
es-S0212-71992007000100007-1	T9	ENFERMEDAD	2285	2321	espondilodiscitis infecciosa D10-D11	302935008
es-S0212-71992007000100007-1	T10	ENFERMEDAD	3509	3526	vessament pleural	60046008
es-S0212-71992007000100007-1	T11	ENFERMEDAD	3784	3806	bloc vertebral D10-D11	262523007
S0004-06142005000700014-1	T1	ENFERMEDAD	635	652	orquiepididimitis	197983000
S0004-06142005000700014-1	T2	ENFERMEDAD	849	860	adenopaties	30746006
S0004-06142005000700014-1	T3	ENFERMEDAD	865	869	goll	3716002
S0004-06142005000700014-1	T4	ENFERMEDAD	1212	1219	varices	128060009
S0004-06142005000700014-1	T5	ENFERMEDAD	2455	2469	microabscessos	128477000
S0004-06142005000700014-1	T6	ENFERMEDAD	2492	2509	orquiepididimitis	197983000
S0004-06142005000700014-1	T7	ENFERMEDAD	2492	2531	orquiepididimitis secundària a Brucella	198002008+72829003
es-S0211-69952014000400020-1	T1	ENFERMEDAD	50	59	diabètica	73211009
es-S0211-69952014000400020-1	T2	ENFERMEDAD	61	66	obesa	414915002
es-S0211-69952014000400020-1	T3	ENFERMEDAD	68	79	dislipémica	370992007
es-S0211-69952014000400020-1	T4	ENFERMEDAD	86	108	malaltia renal crònica	709044004
es-S0211-69952014000400020-1	T5	ENFERMEDAD	110	113	ERC	709044004
es-S0211-69952014000400020-1	T6	ENFERMEDAD	141	149	diabetis	73211009
es-S0211-69952014000400020-1	T7	ENFERMEDAD	154	173	nefroangiosclerosis	473392002
es-S0211-69952014000400020-1	T8	ENFERMEDAD	38	48	hipertensa	38341003
es-S0211-69952014000400020-1	T9	ENFERMEDAD	446	487	infeccions de porta d'entrada del catèter	440653007
es-S0211-69952014000400020-1	T10	ENFERMEDAD	577	588	bacteriemia	5758002
es-S0211-69952014000400020-1	T11	ENFERMEDAD	655	670	infecció en PAC	440653007
es-S0211-69952014000400020-1	T12	ENFERMEDAD	848	864	quadre infecciós	40733004
es-S1137-66272014000300017-1	T1	ENFERMEDAD	62	109	exantema eritrósico i dolorós en regió cervical	271807003
es-S1137-66272014000300017-1	T2	ENFERMEDAD	533	538	lesió	157670007
es-S1137-66272014000300017-1	T3	ENFERMEDAD	533	575	lesió costrosa groguenca en regió cervical	271765003
es-S1137-66272014000300017-1	T4	ENFERMEDAD	292	299	prúrigo	64144002
es-S1137-66272014000300017-1	T5	ENFERMEDAD	411	460	eritema cutani en coll, axil·les, tòraxs i natges	444827008
es-S1137-66272014000300017-1	T6	ENFERMEDAD	592	636	eritema i inflamació palpebral i conjuntival	9826008+1137447008
es-S1137-66272014000300017-1	T7	ENFERMEDAD	941	945	SPEE	200946001
es-S1137-66272014000300017-1	T8	ENFERMEDAD	1170	1182	eritrodermia	399992009
es-S1137-66272014000300017-1	T9	ENFERMEDAD	1145	1152	lesions	157670007
es-S1137-66272014000300017-1	T10	ENFERMEDAD	1314	1321	lesions	157670007
es-S1139-76322015000300009-1	T1	ENFERMEDAD	34	48	mal neurològic	118940003
es-S1139-76322015000300009-1	T2	ENFERMEDAD	386	400	mal neurològic	118940003
es-S1139-76322015000300009-1	T3	ENFERMEDAD	34	120	mal neurològic greu secundari a accident cerebrovascular agut (ACV) isquèmic perinatal	134811000119108
es-S1139-76322015000300009-1	T4	ENFERMEDAD	97	100	ACV	82797006
es-S1139-76322015000300009-1	T5	ENFERMEDAD	469	496	artritis crònica idiopàtica	35908007
